filepath,relative_path,class_label,description,width,height,aspect_ratio,file_size_kb
C:\Users\blessy\projects\cancer prediction\data\raw\A\A_1.jpg,data/raw/A/A_1.jpg,A,Adenocarcinoma,2592,1944,1.3333333333333333,367.57421875
C:\Users\blessy\projects\cancer prediction\data\raw\A\A_2.jpg,data/raw/A/A_2.jpg,A,Adenocarcinoma,2592,1944,1.3333333333333333,206.3857421875
C:\Users\blessy\projects\cancer prediction\data\raw\A\A_3.jpg,data/raw/A/A_3.jpg,A,Adenocarcinoma,2592,1944,1.3333333333333333,923.7900390625
C:\Users\blessy\projects\cancer prediction\data\raw\A\A_4.jpg,data/raw/A/A_4.jpg,A,Adenocarcinoma,2592,1944,1.3333333333333333,802.4990234375
C:\Users\blessy\projects\cancer prediction\data\raw\A\A_5.jpg,data/raw/A/A_5.jpg,A,Adenocarcinoma,2592,1944,1.3333333333333333,824.181640625
C:\Users\blessy\projects\cancer prediction\data\raw\A\A_6.jpg,data/raw/A/A_6.jpg,A,Adenocarcinoma,2592,1944,1.3333333333333333,177.1748046875
C:\Users\blessy\projects\cancer prediction\data\raw\A\A_7.jpg,data/raw/A/A_7.jpg,A,Adenocarcinoma,2592,1944,1.3333333333333333,629.8212890625
C:\Users\blessy\projects\cancer prediction\data\raw\A\A_8.jpg,data/raw/A/A_8.jpg,A,Adenocarcinoma,2592,1944,1.3333333333333333,376.2568359375
C:\Users\blessy\projects\cancer prediction\data\raw\A\A_9.jpg,data/raw/A/A_9.jpg,A,Adenocarcinoma,2592,1944,1.3333333333333333,310.748046875
C:\Users\blessy\projects\cancer prediction\data\raw\AGC\AGC_1.jpg,data/raw/AGC/AGC_1.jpg,AGC,Atypical glandular cells,2592,1944,1.3333333333333333,848.0576171875
C:\Users\blessy\projects\cancer prediction\data\raw\AGC\AGC_10.jpg,data/raw/AGC/AGC_10.jpg,AGC,Atypical glandular cells,2592,1944,1.3333333333333333,738.8359375
